"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}"
6,INTEREST RATE JADA HAI KAM HONA CHAHIYE,3,Detractor,No positive reason
10,jarurat k time loan mill jata h or asani sy mill gya,10,Promoters,Less Documents required for taking a loan / convenient loan application process
10,JALDIE LON MIL JATA HAI,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
2,loan ki kist next mount m bharna chara hai customer,0,Detractor,No positive reason
10,enakk sonna timek loan kudthan,8,Passive,"Affordable Product & Services - Price, fees and terms"
10,EASY REPAYMENT AND COLLECTION PROCESS,8,Passive,Convenient repayment process / collection
9,Home Credit से ज़रूरत के समय लोन मिल गया,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need
8,Customer care number not connecting,10,Promoters,Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved
8,overall service is good,9,Promoters,Overall satisfaction – Everything was ok/without problems
10,jarurat ke time loan mil gyaa,10,Promoters,I received the loan from HC when I was in need
2,Customer apne Loan ke baare me kuch jaankari lena chahta hai lekin unka call Customer Care par connect hi nhi ho raha hai jiski wajah se Customer bhut paresaan hai.,5,Detractor,No positive reason
10,JALDI LOAN APPROVED HO JATA H AND ACCOUNT SY ASANI SY  KATT JATA H,10,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved
10,immediate situations will credit,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient|Easily available in shops / Dealer recommendation|Affordable Product & Services - Price, fees and terms"
9,loans are easily available.,10,Promoters,Already recommended to my friends
10,service achi h or loan mil gya turant or phone liya,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,"JALDIE LON MIL JATA HAI, DIRECT PAYMENT ACOUNT ME AA JATIE HAI",10,Promoters,Less Documents required for taking a loan / convenient loan application process
10,loan time se mil jata hai/ offer b aate rehte hai,10,Promoters,Already recommended to my friends
9,Home credit everything  is very good,10,Promoters,Overall satisfaction – Everything was ok/without problems
8,High interest rate ... Home Credit App should be updated,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems
10,overall service is good,10,Promoters,Overall satisfaction – Everything was ok/without problems
9,home credit customer ko pareshan nhi karta,9,Promoters,No positive reason
8,sab acha koi problem ni hai,5,Detractor,Customer care service is good
10,JALDI LOAN APPROVED HO GYA,10,Promoters,Overall satisfaction – Everything was ok/without problems|I trust HC / I know this company
10,JALDIE LOAN MIL GYA,10,Promoters,Already recommended to my friends
1,interest rate thoda kam hona chayia,0,Detractor,No positive reason
10,service achi h or customer care se bat bhi ho jati h,10,Promoters,Overall satisfaction – Everything was ok/without problems
9,"NEGETIVE : INTEREST RATE JADA HAI ,  POSITIVE : ALL OVER GOOD",10,Promoters,"Application Process - Easy, Fast and Convenient"
8,loan approval jaldi nhi aata hain,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
8,Customer ki taraf se bhut calls aate hai jisse mai bhut paresan hota hu aur Interest Rate bhi bhut jyada hai.,7,Passive,No positive reason
8,phone calls jada aate hai,10,Promoters,Customer care service is good
8,CUSTOBER CARE KI TARAF SE  LOAN KE OFFER KE BARAY ME PURIE JANKARI NAHI DI JATIE,9,Promoters,Quick loan approvals / Higher chances of loan getting approved
9,home creadit se loan lena acha laga persanl  loan bhi mil jata hai acha,7,Passive,"Application Process - Easy, Fast and Convenient"
10,JARURAT KE TIME PAR LOAN MIL JATA HAI,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,JALDI LOAN APPROVED HO JATA H AND CUSTOMER CARE  BHI SPORTED H  AND CUSTOMER SABHI SUVIDHAO SY HAPPY H,10,Promoters,I received the loan from HC when I was in need|Customer care service is good|Overall satisfaction – Everything was ok/without problems
10,Home Credit me sab kuch acha hai aur Loan aasani se mill jata hai.,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient"
10,servie acha h phone mil gya or loan mil gya yhi acha lga,8,Passive,Already recommended to my friends|Quick loan approvals / Higher chances of loan getting approved
10,turant loan mil jata hai,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems
7,INTERET RATE JADA HAI,4,Detractor,No positive reason
8,Home Credit website is not working,7,Passive,Overall satisfaction – Everything was ok/without problems
10,customer service acha lagi,10,Promoters,Customer care service is good
10,KAM SAMEYA ME JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
8,"Positive: loan approval jaldi aa jata hain 
Negative: interest rate thoda kam hona",8,Passive,No positive reason
10,loan time se mil jata hai,10,Promoters,Overall satisfaction – Everything was ok/without problems
7,service is good and time se emi kat jati hai,8,Passive,Quick loan approvals / Higher chances of loan getting approved
10,online payment ho jati vo ache lagi,9,Promoters,Customer care service is good
10,easy process hai home credit ka,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process
10,bank se kisat khud  kat jatie hai,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,Customers are satisfied with all the services of Home Credit,10,Promoters,Already recommended to my friends|Overall satisfaction – Everything was ok/without problems
10,loan approval jaldi aa jata hain,10,Promoters,Customer care service is good
8,EMI time 10th ayite baguntundi,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,आसान repayment और collection process,10,Promoters,I received the loan from HC when I was in need
10,jarurat ke time par loan mil jata,9,Promoters,"Application Process - Easy, Fast and Convenient"
10,loan approval jaldi aa jata hain,9,Promoters,No positive reason
10,jaldie  loan mil gya,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,"easily process, good beaver.",10,Promoters,"Application Process - Easy, Fast and Convenient"
10,EMI pay Timing Good,10,Promoters,Convenient repayment process / collection
8,last loan m card m issue aaye the woh issue dobara nhi aane chahiye,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,Home Credit से ज़रूरत के समय लोन मिल गया,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process
10,Customer is happy with all the facilities of Home CRADIT,10,Promoters,Overall satisfaction – Everything was ok/without problems
8,Mujhe Loan ki Jarurt hai lekin mujhe nhi mill raha hai.,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
10,time pr loan mil jata ha or time to time kist kt jata h,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,all good,10,Promoters,Overall satisfaction – Everything was ok/without problems
8,REPETED CUSTOMERS K LIYE  INTREST RATE KAM HONA  CHIYE,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need
10,time par loan mil gya aur time to time kist karta rahta h,10,Promoters,Overall satisfaction – Everything was ok/without problems
7,customer ki EMI two times pay ho gyi jis se customer ko problem hoti hain,10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved"
10,Home Credit से ज़रूरत के समय लोन मिल गया,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,JARURAT KE TIME LOAN MIL GAYA,9,Promoters,No positive reason
9,Email ID update cheyali loan pending details show avadam ledhu........Overall satisfaction,8,Passive,Quick loan approvals / Higher chances of loan getting approved
10,Jaldi se Loan mill jata hai aur Documents bhi kam lagte hai yaha par. Mere App me New Offers show karte hai lekin jab mai click karta hu uss par to wo open nhi hota hai.,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient|Less Documents required for taking a loan / convenient loan application process|I received the loan from HC when I was in need"
10,loan turant mil jata hai,10,Promoters,Overall satisfaction – Everything was ok/without problems
5,Home credit loans are high interest.,8,Passive,I received the loan from HC when I was in need
10,OVERALL SERVICE IS GOOD,10,Promoters,Convenient repayment process / collection
5,interest jada hai,5,Detractor,No positive reason
10,Interest rate ठीक था,10,Promoters,"Affordable Product & Services - Price, fees and terms"
7,interest rate thoda kam hona chayia,6,Detractor,No positive reason
10,service achi h lekin interest rate jyada hai,9,Promoters,No positive reason
8,Home Credit Office Vizag lo unte baguntundi,9,Promoters,Overall satisfaction – Everything was ok/without problems
10,time se loan mill gaya vo jada acha laga time se kam hogaya,8,Passive,Customer care service is good
10,EMI time se auto debit ho jati hain,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,FAST PROCESS HAI,10,Promoters,"Application Process - Easy, Fast and Convenient"
1,Customer care serivce   achie nahi hai,0,Detractor,No positive reason
10,Home loan approved,10,Promoters,"Easily available in shops / Dealer recommendation|Quick loan approvals / Higher chances of loan getting approved|Customer care service is good|Application Process - Easy, Fast and Convenient|Overall satisfaction – Everything was ok/without problems"
10,Home Credit me Time-to-Time EMI auto-debit ho jata hai abhi tak mujhe koi dikkat nhi aayi hai yahi mujhe sabse acha laga. lekin Home Credit ka Interest rate bhut jyada hai.,9,Promoters,No positive reason
7,Home credit ke team ki taraf se jab customer ko loan diya gya to customer ko puri jankari nhi de gayi customer ko nhi bataya tha ki har transaction per processing fees kategi,5,Detractor,Quick loan approvals / Higher chances of loan getting approved
9,Quick loan approvals,9,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,late payment hone par koi charges nahi lage,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,home crerdit se jo loan liya hai vo thik chal rha hai,10,Promoters,Customer care service is good
9,"interest rate accha hain, home credit par vishwas kiya ja shakta hain",10,Promoters,"Customer care service is good|Application Process - Easy, Fast and Convenient"
1,"लोन की शर्तो और नियमो की पूरी जानकारी provide नहीं की जाती है ,ज्यादा ब्याज़ दर",0,Detractor,No positive reason
8,phone call jada aate hai,8,Passive,No positive reason
7,maine 12 mahine ka rishta banaya tha lekin wo 40 mahine ki kist bana diya,7,Passive,No positive reason
10,"POSITIVE : GOOD PRODUCT  , OVER ALL SERVICE GOOD , NEGETIVE :  INTEREST JADA HAI",10,Promoters,No positive reason
10,Home Credit ki Customer service bhut achhi laggi. Customer ke sath bhut achhhe se baat karte hai samjhate hai.,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Customer care service is good|Application Process - Easy, Fast and Convenient"
10,"Home Credit's service is very fast, whatever work is done gets done immediately like loan approval, the loan gets approved immediately in three-four hours.",10,Promoters,"Application Process - Easy, Fast and Convenient"
10,Quick loan approvals,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
7,interest rate kurayyakanam,10,Promoters,"Easily available in shops / Dealer recommendation|Affordable Product & Services - Price, fees and terms"
10,Loan jaldi se mill jata hai Home Credit se lekin ek baar Home Credit Ke Agent ne hamare se Extra Amount charge kiya aur jab maine Customer Care par ishki jaankari leni chahi to waha se bhi koi sunwaai nhi hui.,10,Promoters,Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved|Already recommended to my friends
9,TIME PR LOAN MIL GYA OE JALDI approval HO GYA H,9,Promoters,Good previous experience / HC resolved my problem|Quick loan approvals / Higher chances of loan getting approved
10,jaldie   loan mil gya,8,Passive,Already recommended to my friends
10,overall service is good,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,customer service good,10,Promoters,Already recommended to my friends
9,Loan is available at the time of need,10,Promoters,I received the loan from HC when I was in need
10,loan approval jaldi aa jata hain,10,Promoters,Overall satisfaction – Everything was ok/without problems
7,Interest rate bhut jyada laga hai mujhe.,8,Passive,I trust HC / I know this company
5,interstrat jada hai,5,Detractor,No positive reason
5,interest jada hai,2,Detractor,No positive reason
10,FAST PROCESS HAI,10,Promoters,Customer care service is good|Less Documents required for taking a loan / convenient loan application process
10,time pr loan mil gya,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,जल्दी लोन मिल गया,10,Promoters,Already recommended to my friends
10,EMI time se auto debit ho jati hain,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,time pr loan mil gya or kam ho gya,10,Promoters,No positive reason
10,loans are easily available.,10,Promoters,"Already recommended to my friends|Application Process - Easy, Fast and Convenient"
8,interest jada hai,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,personal  loan /mobile loan,10,Promoters,"Customer care service is good|Application Process - Easy, Fast and Convenient|Overall satisfaction – Everything was ok/without problems|Affordable Product & Services - Price, fees and terms|Convenient repayment process / collection|Easily available in shops / Dealer recommendation"
10,FAST PROCESS HAI PAYMENT PROCESS IS GOOD,10,Promoters,"Application Process - Easy, Fast and Convenient"
9,proper guide karte hai,9,Promoters,Quick loan approvals / Higher chances of loan getting approved
1,Home Credit ki taraf se mere bank me baar- baar Paise cut ho raha hai apne aap aur Customer Care/E-Mail par bhi koi samadhan nhi mill raha hai.,0,Detractor,No positive reason
3,"CLEAR KARNE KA OPTION , BATYE GAYE EMI CHARGES SE EXTRA LAGRE HAI",0,Detractor,No positive reason
9,Home Credit se Jarurat ke time par Loan mill jata hai.,10,Promoters,I received the loan from HC when I was in need|Overall satisfaction – Everything was ok/without problems
9,loans are easily available.,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,TIME PR LOAN MIL JATA H OR SERVICE BHI ACHA H,10,Promoters,Overall satisfaction – Everything was ok/without problems
9,positive: kist ke bare me phle hi bata diya jata hai  negative: customer ko fist time problem hoti bad me koi promblem ni hoti,9,Promoters,Quick loan approvals / Higher chances of loan getting approved
7,ब्याज़  ज्यादा लिया जा रहा है,5,Detractor,No positive reason
9,Payment karne ke baad bhi Home Credit ki App me Payment show nhi hota,10,Promoters,Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved
10,जल्दी लोन मिल गया,10,Promoters,Already recommended to my friends
10,Jarurat ke time Par loan mill jata hai Home Credit se.,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient|I received the loan from HC when I was in need"
7,Home Credit ka Interest Rate bhut jyada hai. Purane aur Achhe Customers ko kam se kam Interest lagana chahiye Home Credit ko.,6,Detractor,No positive reason
10,Home Credit se Loan Aasani se mill jta hai bass ek hi dikkat hai ki Customer Care par call Connect nhi hota hai.,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient"
9,TIME PR PR LOAN MIL JATA H,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,"If EMI is late by a day, the penalty is less as compared to other loan companies.",10,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved
10,KAM TIME M JALDI LOAN MILL GYA,10,Promoters,I received the loan from HC when I was in need|Overall satisfaction – Everything was ok/without problems|Already recommended to my friends
8,rate of interest jada hai / emi date 5 date ke bad hona chaiye,6,Detractor,No positive reason
8,loans are easily available.,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,TIME PR KIST KATATI H OR TIME PR LOAN MIL JATA H,10,Promoters,Overall satisfaction – Everything was ok/without problems
8,interest rate jayda hai.= everything  is good.,5,Detractor,No positive reason
10,"The loan process is quite easy. If there is a delay in paying the EMI, you can make the payment through the app.",10,Promoters,Already recommended to my friends|Overall satisfaction – Everything was ok/without problems
10,JALDI LOAN MILL JATA H AND KAM DOCUMENTS LAGTAY H,10,Promoters,I received the loan from HC when I was in need
10,SERVISE ACHI H OR JALDI LOAN MIL JATA H,10,Promoters,Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved
8,The customer has to get his loan closed. The customer is not getting any details about closing the loan.,10,Promoters,Convenient repayment process / collection|Overall satisfaction – Everything was ok/without problems
10,loan time se mill jata hai,9,Promoters,"Application Process - Easy, Fast and Convenient|Customer care service is good"
7,Interest rate is too high,10,Promoters,I received the loan from HC when I was in need
10,loan approval jaldi aa jata hain,10,Promoters,Customer care service is good
10,Overall SB KUCH ACHA LGA,10,Promoters,Overall satisfaction – Everything was ok/without problems
9,fastly credited money from home credit,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient|Convenient repayment process / collection"
10,all over good,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,loan approval jaldi aa jata hain,10,Promoters,Customer care service is good
10,loan lena acha laga,9,Promoters,Customer care service is good
10,"positive : jarurat ke time par loan mil jata ,  interest rate jada hai",7,Passive,No positive reason
10,जल्दी लोन मिल गया,10,Promoters,No positive reason
10,loans are easily available,10,Promoters,"Application Process - Easy, Fast and Convenient"
9,fastly get it loan in home credit,10,Promoters,"Easily available in shops / Dealer recommendation|Affordable Product & Services - Price, fees and terms|Convenient repayment process / collection|Application Process - Easy, Fast and Convenient"
9,service acha hai or loan approval jaldi ho jataa h,10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved"
10,"quick loan approval , less time consuming",10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,loan approval jaldi aa jata hain and interest rate bhi accha hain,10,Promoters,Customer care service is good|Quick loan approvals / Higher chances of loan getting approved
5,"interest rate jayda hai , or long time ke liye loan diya gaya.",5,Detractor,No positive reason
10,interest jada hai /,10,Promoters,Overall satisfaction – Everything was ok/without problems
5,calls aate hai bar bar loan ke liy,5,Detractor,No positive reason
10,interest rate accha hain and application process easy hain,10,Promoters,Customer care service is good
7,RATE OF INTREST JYADA H AND CUSTOMER CARE SY  BAR BAR CALLS ATI H,4,Detractor,No positive reason
9,"service , fast getting loan",10,Promoters,"Application Process - Easy, Fast and Convenient|Overall satisfaction – Everything was ok/without problems|Customer care service is good"
9,customer get loan when they need and quick loan approval is so good home credit,10,Promoters,"Application Process - Easy, Fast and Convenient|Already recommended to my friends"
10,processing achaa,10,Promoters,Overall satisfaction – Everything was ok/without problems
7,Home Credit service is good and approval was easy,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,time per loan mil jata hai.,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need
6,"लोन देने में ज्यादा समय  लगाया ,कस्टमर केयर में कॉल कनेक्ट नहीं होती है जल्दी",8,Passive,Quick loan approvals / Higher chances of loan getting approved
8,app slow chalta hai / app par loan apply karne par information lena chah re the call disconnect kar di Gaye,5,Detractor,No positive reason
8,EMI K TIME PER CUSTOMER CARE SY KAFI CALLS ATI H,7,Passive,No positive reason
9,fast process hai,7,Passive,"Application Process - Easy, Fast and Convenient"
10,"everything done timely that was so good , like EMI deduct on time",10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,products or loan  lena home credit se thik laga .,10,Promoters,Already recommended to my friends|Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process
10,"I applied for the loan and got immediate approval and the money got transferred to my account. 
interest rate is very high",10,Promoters,"Convenient repayment process / collection|Application Process - Easy, Fast and Convenient"
8,i got loan form home credit fastly,9,Promoters,"Affordable Product & Services - Price, fees and terms"
10,fast and easy process  emi   date pass aane par account mantain rakhne ke liy aware kardete hai,10,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved
10,कम डॉक्यूमेंट में जल्दी लोन मिल गया,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,BYAJ KAM H OR JO BHI KAM KRAO OH 10 MINT ME HO JATA HAI,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,Home credit is very easily provide.,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,easy application process,10,Promoters,Convenient repayment process / collection|Overall satisfaction – Everything was ok/without problems
8,EMI loan limit ekkuva Vunte better,6,Detractor,Quick loan approvals / Higher chances of loan getting approved
8,not available customer care facilities,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need
1,"30% interested deducted ,",0,Detractor,No positive reason
8,EMI late hone ke baad thoda sa samay aur de to aur acha hoga.,9,Promoters,Customer care service is good
8,ब्याज ज्यादा लिया जा रहा है,5,Detractor,No positive reason
2,"The customer had deposited his EMI online and it was also deducted from the account, so it took 10 days for the refund to be returned to the customer.",4,Detractor,Quick loan approvals / Higher chances of loan getting approved|Convenient repayment process / collection
9,Jaldi se Approval aa jata hai.,10,Promoters,Overall satisfaction – Everything was ok/without problems|Less Documents required for taking a loan / convenient loan application process|Quick loan approvals / Higher chances of loan getting approved
8,i got loan easyli,10,Promoters,Convenient repayment process / collection
4,rate of intrest jyada h,2,Detractor,No positive reason
10,overall service is good,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,fastly approve my loan,10,Promoters,"Easily available in shops / Dealer recommendation|Affordable Product & Services - Price, fees and terms|Convenient repayment process / collection|Quick loan approvals / Higher chances of loan getting approved"
10,"Home credit service is good
The work was done with less documentation and the loan was credited to the account quickly.",10,Promoters,Less Documents required for taking a loan / convenient loan application process|Overall satisfaction – Everything was ok/without problems
7,customers k pass calls jyada aati hain jis se customer perashan  hote hain,5,Detractor,No positive reason
5,Interest Rate ke baare me bataya kuch aur gaya aur Paise Bank me aane ke baad kuch aur Interest Rate lagg raha hai.,2,Detractor,No positive reason
10,time per approval mil jata.,10,Promoters,Already recommended to my friends|Quick loan approvals / Higher chances of loan getting approved
10,time se loan mil jata hai,10,Promoters,Already recommended to my friends
6,intersrat jada hai kam hona chahiye,7,Passive,No positive reason
10,Loan was easily availed and repayment is being done easily.,8,Passive,No positive reason
10,"REPAYMENT AND COLLECTION PROCESS IS VERY EASY , ITS DEDUCT TIME TO TIME EMI FROM ACCOUNT",8,Passive,No positive reason
8,BAR BAR PHONE OR MESSAGE AATA HAI,8,Passive,No positive reason
10,jaldi loan mill jata h,10,Promoters,I trust HC / I know this company
1,होम क्रेडिट की तरफ से फरोड कॉल करके मुझसे पैसे ले लिए,0,Detractor,No positive reason
10,overall service is good,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,time per loan mil gaya.,8,Passive,Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need
8,interest rate thoda kam hona chayia,8,Passive,Quick loan approvals / Higher chances of loan getting approved
10,service fast hai/ jaldi aproval mil jata,10,Promoters,Already recommended to my friends
10,jada time ni lagta loan jaldi  mill jata hai,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,EMI payment updates from time to time,10,Promoters,Already recommended to my friends|Overall satisfaction – Everything was ok/without problems
9,Loan was easily available through Home Credit,9,Promoters,No positive reason
9,LESS DOCUMENT WITH FAST SERVICE IS REALLY GOOD,10,Promoters,"Affordable Product & Services - Price, fees and terms|Customer care service is good"
10,home credit is easily lone provided,10,Promoters,Customer care service is good
8,interest rate thoda kam hona chayia,7,Passive,No positive reason
10,emi payment ke regarding call krke inform kardete hai,10,Promoters,Customer care service is good
7,customer ko jarurat ke time loan nahi milla or customer care se connected ni ho para,7,Passive,No positive reason
1,time par EMI pay kerny ke baad bhi extra charges lagte hain,0,Detractor,No positive reason
10,"PAYMENT ,COLLECTION PROCESS IS VERY EASY AND EMI DEDUCT ON TIME ,THE HOME CREDIT EMPLOYEES PROVIDE INFORMATION TIME TO TIME",10,Promoters,Customer care service is good|Less Documents required for taking a loan / convenient loan application process
9,time per approval mil jata hai.,10,Promoters,I received the loan from HC when I was in need|Less Documents required for taking a loan / convenient loan application process
7,interest jada hai,5,Detractor,No positive reason
10,जल्दी लोन मिल गया,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
8,interest rate is high,8,Passive,No positive reason
10,Loan jaldi se mill jata hai Home Credit se.,10,Promoters,Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved
8,interest rate is high,5,Detractor,No positive reason
7,"interest rate jayda hai,  everything is good.",8,Passive,No positive reason
6,"Money is not deducted even after it is in my account, have to use it online",8,Passive,Already recommended to my friends
10,Overall satisfaction,10,Promoters,Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need
10,Customers are happy with all the features of Home Credit:,10,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved
6,emi date se phle emi cut ho jati emi ki date 15 batai thi lekin 8 ko emi cut hoti,3,Detractor,No positive reason
8,"There was a little problem in EMI repayment. Once there was no auto debit from the account, when the customer care call came, they were asked to do UPI and the second time when the call came, they said that they should deposit money in the account.",9,Promoters,I received the loan from HC when I was in need
7,Mujhe aur bhi Loan ki jarurat thi lekin Home Credit ne aur Loan nhi diyaa aur interest bhut bhut jyada hai Home Credit ka,5,Detractor,No positive reason
10,EMI due hone par koi extra charges nhi lagte,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,जल्दी लोन मिल गया,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,Loans are easily available.,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,TIME PER APPROVAL MIL GAYA.,10,Promoters,"I received the loan from HC when I was in need|Affordable Product & Services - Price, fees and terms"
9,loan approval jaldi aa jata hain,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
9,Quick loan approvals....Good interest rate,10,Promoters,Overall satisfaction – Everything was ok/without problems
7,interest rate jada hai,4,Detractor,No positive reason
10,Payment is easy through the app and financing is done quickly.,9,Promoters,Already recommended to my friends
1,extera charge lag rahy h  customer pay nahi karna chata and extra pesy katy account sy,0,Detractor,No positive reason
2,"लोन की शर्तों के बारे में पूरी जानकारी नहीं दी गई, ब्याज बहुत ज्यादा लिया जा रहा है",0,Detractor,No positive reason
8,There has been no update or anything since the loan is over,10,Promoters,Overall satisfaction – Everything was ok/without problems|Customer care service is good
10,"INSTANT LOAN SERVICES IS GOOD , AND PAYMENT PROCESS IS ALSO GOOD",10,Promoters,Convenient repayment process / collection|Quick loan approvals / Higher chances of loan getting approved
10,"approval jaldi aata ,  emi payment process acha laga",10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process
7,interest rate  jayda hai = everything is good .,10,Promoters,Already recommended to my friends|I trust HC / I know this company
5,customer care se contact nahi ho pata hai,5,Detractor,No positive reason
8,interest rate is high,10,Promoters,Convenient repayment process / collection|Quick loan approvals / Higher chances of loan getting approved
7,Interest rate should be reduced,10,Promoters,Overall satisfaction – Everything was ok/without problems
6,लोन को क्लोज करवाने में बहुत ज्यादा प्रॉब्लम होती है,8,Passive,Quick loan approvals / Higher chances of loan getting approved
7,Interest rate is very high,6,Detractor,Convenient repayment process / collection
10,loan approval jaldi aa jata hain,9,Promoters,Already recommended to my friends|Quick loan approvals / Higher chances of loan getting approved
5,Rate of Interest bhut jyada hai,5,Detractor,No positive reason
9,"NEED KE ACCORDING LOAN JALDI MIL  JATA , OR FINANCE  MIL JATA HAI.",8,Passive,I received the loan from HC when I was in need
10,"QUICK LOAN APPROVAL , IT WILL TAKE LESS TIME FOR APPROVAL OF LOAN",10,Promoters,Customer care service is good|Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process
10,easy process hai,10,Promoters,"Application Process - Easy, Fast and Convenient"
5,The loan was offered by Home Credit a month or two ago. The customer needed a loan last month. The loan was showing in the application but the loan was rejected.,5,Detractor,No positive reason
8,EMI పే చేసిన తర్వాత వెంటనే అప్డేట్ అవడం లేదు...కస్టమర్ కేర్ నుండి కాల్స్ వస్తున్నాయి ..మీకు ఆఫర్ ఉన్నాయని...  కానీ ఆఫర్ Generate అవ్వకుండానే కాల్ చేస్తున్నారు ..,10,Promoters,Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved
10,"The loan is available quickly and if you pay your installment late even by a day or two, you do not have to pay much.",10,Promoters,Already recommended to my friends
10,Home Credit ki Customer Care Service bhut achhi laggi.,10,Promoters,Already recommended to my friends|Overall satisfaction – Everything was ok/without problems|Customer care service is good
