"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}"
9,"JARURAT KE TIME PAR LOAN MIL JATA , ONLINE PROCESS HAI ACHA LAGA , FAST PROCESS",10,Promoters,"I received the loan from HC when I was in need|Affordable Product & Services - Price, fees and terms"
9,easy loan ho jata hai hai,10,Promoters,"Application Process - Easy, Fast and Convenient|Less Documents required for taking a loan / convenient loan application process"
9,JALDIE LOAN MIL GYA,8,Passive,Quick loan approvals / Higher chances of loan getting approved
8,everything is good= interest rate jayda hai.,8,Passive,I received the loan from HC when I was in need
9,Quick loan approvals,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
7,Abhi jyada time nhi hua hai isliye mai itna hi rating de skta hu abhi baaki Home Credit me sab kuch acha hai. Time-To-Time EMI Bank se Cut ho raha hai ye acha laga.,7,Passive,No positive reason
9,approval jaldi aata hai,9,Promoters,Overall satisfaction – Everything was ok/without problems
10,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,Loan is available immediately when needed,7,Passive,No positive reason
10,Everything is good,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems
7,interest rat jada hai,8,Passive,Customer care service is good
10,"Customer required a loan, he got the loan easily.",10,Promoters,"Application Process - Easy, Fast and Convenient"
9,online saree process ho jaate hain ye acha laga,10,Promoters,Overall satisfaction – Everything was ok/without problems
9,OVERALL SERVICE IS GOOD.,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,process good,7,Passive,No positive reason
5,interest rate bhut jyada h,8,Passive,Quick loan approvals / Higher chances of loan getting approved
10,documents kam lagte hai,8,Passive,"Application Process - Easy, Fast and Convenient"
8,INTEREST RATE KAM HONA CHIYE,5,Detractor,No positive reason
7,"The customer had paid his EMI a day before but still the penalty was charged.
the customer should be given complete information regarding EMI.",8,Passive,No positive reason
9,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
7,"customer care not connected , time waste",7,Passive,Overall satisfaction – Everything was ok/without problems
8,Call to Telugu customer care not connecting quickly,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need
9,fast process hai jaldi loan mil gya,10,Promoters,I received the loan from HC when I was in need
9,"easy process ,online facility is good.",9,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved
9,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
5,customer care me call nahi lagati,2,Detractor,No positive reason
10,loan process jaldi ho jata h,10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
10,"positive : easy process hai , negetive : interest  rate jada hai",10,Promoters,"Application Process - Easy, Fast and Convenient|Already recommended to my friends"
8,"I paid the last Flexible loan EMI and closed it, but again I got a message asking me to pay 1800...... If you call customer care they are not responding properly ..It would be good to have an office related to home credit in Vijayawada.....",8,Passive,Overall satisfaction – Everything was ok/without problems
10,ONLINE SERVICE ACHI LAGI,10,Promoters,Already recommended to my friends|I received the loan from HC when I was in need
