"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-,Other Choice-Others,"Neutral Reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-Others,"Negative Reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-Others,Have you had any positive experience in using Home Credit services during the last year?,What specifically pleased you?,Have you had any Negative experience in using Home Credit services during the last year?,What problem(s) was it? Why were you not satisfied?,Please share your suggestions on how Home Credit can improve its products and services.
8,CUSTOMER CARE SY CONTACT NAHI HO PATA H AND EXTRA CHARGE   KATT  JATY H,5,Detractor,No positive reason,,,,No neutral reason,,,"Rude behavior towards customers - Unprofessional attitude by HC executive|Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,No,NO RESONE,Yes,CUSTOMER CARE SY CONTACT NAHI HO PATA AND EXTRA CHARGE KATT JATY H,CUSTOMER CARE SY CONTACT NAHI HO PATA H
10,jarurat ke time par Loan mill jata hai Home Credit se.,10,Promoters,Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,No,,No,,Home Credit ke Purane App par EMI payment ke baad bhi kuch dinno tak EMI show nhi hota aur Customer Care par aasani se Call connect hona chahiye.
5,Home Credit gives loan at the time of need but the interest rate is very high.,5,Detractor,I received the loan from HC when I was in need,,,,No neutral reason,,,High interest rate,,,Yes,Flexible loan comes in handy when needed,No,,Home Credit: Give a loan to whoever you want after testing it and the interest rate will be low.
5,customer's jo EMI pay kerta hain wo app mein show nhi hota hain,3,Detractor,No positive reason,,,,No neutral reason,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges|High interest rate",,,Yes,flexible personal loan accha hain,No,,AGER CUSTOMER'S EMI TIME PAR PAY NHI KAR PATA HAIN TOO CUSTOMER KA BOUNCE CHARGES NHI LAGANA CHAYIA
6,interest bhut jada  hai or customer ke saath jhooth bola jata  hai,3,Detractor,No positive reason,,,,No neutral reason,,,Lack of information provided – about terms / procedures|Others,,customer ke sath bhut bola gya,No,,No,,sujhav yhi h ki customer ko sahi batana chaiye hamre sath jhut bola gya
10,all good,10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,all good,No,,no suggestion
10,Home Credit ki Overall sabhi service achhi laggi bass ek hi dikkat hai ki kabhi kabhi bank se EMI cut nhi hota hai manually Online pay karna padta hai.,10,Promoters,Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,No,,No,,kabhi kabhi bank se EMI cut nhi hota hai manually Online pay karna padta hai ye nhi hona cahiye aur Customer Care par call jaldi se connect hona chahiye
10,"NEGETIVE : CHARGERS JADA LAGTE HAI ,  POSITIVE : JARURAT TIME PAR KABHI BHI USE KAR SAKTE HAI ASAN HAI CARD USE",10,Promoters,"Affordable Product & Services - Price, fees and terms|Convenient repayment process / collection",,,,No neutral reason,,,No negative reason,,,Yes,JARURAT KE TIME PAR LOAN MIL JATA,No,,EXTRA CHARGES NHI KATNE CHHAIYE
8,"HC everything is good 
Home credit option should be available online also, example Flipkart and Amazon.",8,Passive,No positive reason,,,,Others,,"Home credit option should be available online also, example Flipkart and Amazon.",No negative reason,,,Yes,Easy repayment Process,No,,"Home credit option should be available online also, example Flipkart and Amazon.
It would be great if we could pay EMI ourselves."
4,CUSTOMER CARE SY CONTACT NAHI HO PATA EMERGENCY K TIME,2,Detractor,No positive reason,,,,No neutral reason,,,Rude behavior towards customers - Unprofessional attitude by HC executive|Problem/Issue not resolved by HC|Bad service quality / Problems with service/Bad experience,,,No,,No,,CUSTOMER  CARE SY CONTACT  NAHI PATA H
10,process good,8,Passive,No positive reason,,,,No neutral reason,,,High interest rate,,,No,,No,,no suggestion
8,LOAN APPROVAL JALDI MIL JATA HAIN,9,Promoters,Good previous experience / HC resolved my problem,,,,No neutral reason,,,No negative reason,,,Yes,JARURAT K TIME PAR LOAN MIL JATA HAIN,No,,NO SUGGESTION
10,"emi process is good, emi ke time call or message karte hai , emi bounce nhi hoti .",10,Promoters,"Affordable Product & Services - Price, fees and terms|Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need",,,,No neutral reason,,,No negative reason,,,Yes,time per loan mil jata hai. jaldi approval mil gaya .,No,,no suggestion .
5,INTEREST JADA HAI,8,Passive,"Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,High interest rate,,,No,,No,,"INTEREST RATE JADA HAI , CALLS JADA AATI HAI"
9,over all service ache lagi,9,Promoters,Customer care service is good,,,,No neutral reason,,,No negative reason,,,Yes,time se loan mill jata hai,Yes,customer ko sahi guide nahi ky jata,no suggestion
10,quick loan approval service,10,Promoters,"Application Process - Easy, Fast and Convenient|Customer care service is good",,,,No neutral reason,,,No negative reason,,,Yes,all work done on time and they gave loan offers to customers,No,,no suggestion
9,Jarurat ke time par Loan jaldi se mill gya tha Home Credit se.,10,Promoters,I received the loan from HC when I was in need|Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,No,,No,,"Home Credit kehta hai ki EMI due date se 2 dinn pehle hi Bank me Amount rkhna hoga, aisa nhi hona chahiye Fix Due Date par hi EMI cut hona chahiye aur Customer Care par call jaldi se connect hona chahiye."
9,ager customer ki EMI 2-3 din late ho jati hain too extra charges nhi lagte hain,10,Promoters,"Affordable Product & Services - Price, fees and terms|Others",,,customer care service is not good,No neutral reason,,,No negative reason,,,Yes,document kam lagte hain,No,,AGER CUSTOMER EMI PAY KERNE MEIN 1-2 DIN LATE HO JAYE HO BOUNCE CHARGES NHI LAGNE CHAYIA
1,customer  care se baat easy nhi hai. long time se customer care se call connected nhi ho pa rahi hai .,0,Detractor,No positive reason,,,,No neutral reason,,,Problem/Issue not resolved by HC|No clarity on loan amount - Number of EMIs pending,,,No,,Yes,customer care  se baat nhi hoti hai.,no suggestion.
10,JALDI  APPROVAL MILL JATA H,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,JARURAT K  TIME JALDI APPROVAL MILL GYA AND ONLINE SERVICE ACHI LAGI,No,,INTEREST RATE THODA KAM HONA CHIYE
1,FLEXIBLE LOAN  ME MUJHE JAYDA PROBLAM HO RAHI HAI ISME JAYDA CHARG LIYA JA RAHA HAI    POGTIVE......PERSONAL LOAN  LEYNA MUJHE ACHA LAGA THA,0,Detractor,No positive reason,,,,No neutral reason,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,No,,Yes,FLEXIBLE LOAN PER JAYDA CHARG LIYA JA RAHA HAI,CUSTOBER KO LOAN KI SHARTO KE BARE ME PURE JANKARI DI JAYE
10,"POSITIVE : OVERALL SERVICE IS GOOD , NEGETIVE : CARD BAND KARDIYA GAYA HAI",8,Passive,No positive reason,,,,I don’t like to recommend to anyone.,,,No negative reason,,,Yes,JARURAT KE TIME PAR LOAN MIL GYA,Yes,CARD BAND KARDIYA GAYA HAI KOI JANKARI NHI DI GAYI,CUSTOMER KA CARD  BLOCK YA BAND NHI KARNA CHAHIYE AGAR CUSTOMER CARD USE KAR RAHA HAI
9,Home Credit se Loan aasani se aur jaldi se mill jata hai aur EMI Late hone ke baad bhi Home Credit thoda sa time deta hai Pay karne ka.,9,Promoters,"Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient|Already recommended to my friends",,,,No neutral reason,,,No negative reason,,,No,,No,,Home Credit ko Majboori ke time Par Loan dena chahiye.
10,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,JALDIE LOAN MIL GYA,No,,AGAR KOI CUSTOBER FIRST EMI PAY NAHI KAR PATA HAI KISE VAJAH SE TO JAB DUSRI EMI PAY KARNEY KA TIME AATA HAI TO FIRST EMI KO SECOUND EMI ME PLUS KARKE EK SATH EMI LEY LI JAYE CUSTOBER SE
5,Interest rate bhut jyada lagg raha hai aur Loan lete time kam Interest ke baare me bataya gya tha mujhe.,3,Detractor,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,Jarurat ke time par Home Credit se Loan mil gya tha.,No,,Interest Rate thoda sa kam hona chahiye.
3,ONE MONTH ME MAYRI  2 EMI KAT LI,5,Detractor,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,Bad service quality / Problems with service/Bad experience,,,Yes,JALDIE LOAN MIL GYA,Yes,ONE MONTH ME MAYRI  2 EMI KAT LI,CUSTOBER CARE ME CALL CONNECT JALDIE HONIE CHYIE
10,Home Credit Ki Flexible Loan bhut achaa laga aur Interest Rate bhi acha laga.,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Already recommended to my friends|Affordable Product & Services - Price, fees and terms",,,,No neutral reason,,,No negative reason,,,Yes,Home Credit Bharoshemand Company hai.,No,,No Suggestion
10,Home Credit se Loan aasani se aur jaldi mill jata hai.,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,Jarurat ke time par Bhut Jaldi Loan mill gya tha Home Credit se.,No,Jaladi se,No Suggestion
10,"Home Credit's work is perfect If there is any work, it gets processed immediately",10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,easy repayment and collection process and there is no problem in the service of Home Credit.,No,,Take low interest rate and give high limit
10,over all service ache lagi,10,Promoters,Customer care service is good,,,,No neutral reason,,,No negative reason,,,Yes,approval jaldi aa jata hai,No,,card ki limit badni chahiye
5,credit limit kam hai,2,Detractor,No positive reason,,,,I don’t like to recommend to anyone.,,,Lack of information provided – about terms / procedures,,,No,,Yes,customer care se bar bar call ati hai,no suggestion
7,EMI date change karne ke liye option hona chahiye,9,Promoters,Customer care service is good,,,,No neutral reason,,,No negative reason,,,Yes,customer ko EMI notification ache lage,No,,no suggestion
10,TIME SE LOAN MILL JATA HAI,10,Promoters,"Customer care service is good|Application Process - Easy, Fast and Convenient",,,,I don’t like to recommend to anyone.,,,No negative reason,,,Yes,over all service ache lagi,No,,NO SUGGESTION
10,customer care service is good,10,Promoters,I received the loan from HC when I was in need|Customer care service is good,,,,No neutral reason,,,No negative reason,,,Yes,customer get loan when they need,Yes,extra charges deduct after close the loan,the loan offers and interest rate that shown in the app should be correctly match with services they provide after taken the loan
5,customer care se  direct baat nhi ho pati . customer ki problem slove nhi hoti hai.,2,Detractor,No positive reason,,,,No neutral reason,,,Problem/Issue not resolved by HC|Bad service quality / Problems with service/Bad experience,,,Yes,time per loan mil jata hai.,No,,customer  care se baat karna easy kiya jaay.
9,customer service ache hai,8,Passive,No positive reason,,,,No neutral reason,,,Rude behavior towards customers - Unprofessional attitude by HC executive,,,Yes,NEGATIVE :customer ko sahi jankari deni chahiye    POSITIVE:  over all sab acha hai,No,,no suggestion
10,"Positive: loan approvalis fast and application process easy and fast 
Negative: interest rate is not good and customer care service is also not good",10,Promoters,"Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,jarurat k time par customer's ko loan mil jata hain,Yes,customer care service is not good,customer care ki service acchi honi cahyia
10,time par loan mill gaya,8,Passive,"Application Process - Easy, Fast and Convenient|I received the loan from HC when I was in need",,,,Will recommend but am not sure whether they will take it or not,,,No negative reason,,,No,,No,,no suggestion
10,customer service fast hai,10,Promoters,Customer care service is good,,,,No neutral reason,,,No negative reason,,,Yes,kam time meloan mill gaya,No,,no suggestion
10,jarurat pr loan mil jata h,10,Promoters,Already recommended to my friends,,,,No neutral reason,,,No negative reason,,,Yes,jarurat pr loan milte rhe hai offer aate rehte hain,No,,customer care  se bat nhi ho pta h
8,Good service home credit,5,Detractor,No positive reason,,,,No specific reason mentioned by the customer.|No neutral reason,,,Rude behavior towards customers - Unprofessional attitude by HC executive,,,Yes,All the documentation matters were cleared on time,No,,customer have no suggestions
1,EXTERA CHARGE LAGAY    GYA  EMI TIME PER PAY KARNAY PER,0,Detractor,No positive reason,,,,No neutral reason,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,Yes,CUSTOMER SABHI FACILITES SY SATIESFIED H /// NAGATIVE= EMI TIME PAR PAY KARNAY K BAD BHI  EXTERA CHARGE LAGAY GY,No,,CUSTOMER KI EMI DATE TAK KOI EXTERA CHARGE NAHI LAGAN CHIYE
10,"quick loan approval, you will get instant loan",10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Customer care service is good,,,,No neutral reason,,,No negative reason,,,Yes,"quick loan approval , provide loan offers for customer, interest rate is good and customer take loan when they need",No,,no suggestion
10,time per loan mil jata hai. document kam lagte hai.,8,Passive,Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process|I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,time per loan mil jata hai =everything is good.,No,,loan close karna easy kiya jaay. interest rate kam kiya jaay .Forclosure ke liye pareshan hona padta hai
10,"timely service , all work done on time , time to time update",10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved",,,,No neutral reason,,,No negative reason,,,Yes,customer care service  is good,No,,interest rate should be reduced
10,"NEGETIVE : INETESRT RATE JADA , POSITIVE : JARURAT KE TIMA PAR LOAN MIL GAYA",7,Passive,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,JARURAT KE TIME PAR LOAN MIL GAYA,No,,INTEREST RATE JADA HAI  KAM HONA CHAHIYE
10,customer service ache hai,10,Promoters,Customer care service is good,,,,No neutral reason,,,No negative reason,,,Yes,over all service ache hai,No,,interest rat kam hona chahiye
8,ONE WEEK EMI LATE HONY PER FLAXIBAL CARD BLOCK KAR DIYA GYA,10,Promoters,I received the loan from HC when I was in need|Less Documents required for taking a loan / convenient loan application process,,,,No neutral reason,,,No negative reason,,,Yes,JALDI LOAN APPROVAL MILL GYA AND JYADA DOCUMENTS  NAHI LAGY,No,,EMI LATE HONY PER CARD BLOCK NAHI HONA CHIYE OR  EMI CHARGE CHANGE NAHI HONA CHIYE FIX HONA CHIYE
6,customer care not Available,7,Passive,"Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,Lack of information provided – about terms / procedures,,,Yes,"Good response
And process will be easy",No,,Unable to contact customer care
10,ग्राहकों के प्रति  ACHA व्यवहार,10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,JARURAT KE SAMEYA LOAN MIL GYA,No,,CUSTOBER KE LIYE INTEREST THODA KAM KIYA JAYE
10,time per loan mil jata hai.,10,Promoters,"Application Process - Easy, Fast and Convenient|I received the loan from HC when I was in need",,,,No neutral reason,,,No negative reason,,,Yes,"easy process hai, jaldi approval mil jata hai.",No,,emi mai charge jayda liya gaya.
10,EASY PROCESS HAI EMI LATE HONE PAR  PANELTY NHI LAGTI,10,Promoters,Already recommended to my friends,,,,No neutral reason,,,No negative reason,,,Yes,ESALY MIL JATA GOOD EMI PROCESS TIME PANELTY NHI LGTI,No,,CUSTOMER KO EMI LATE HONE PAR BONOUS CHARGES NHI LAGNE CHAHIYE
10,future aachi h or time pr  kam ho jata hai,10,Promoters,Already recommended to my friends,,,,No neutral reason,,,No negative reason,,,Yes,future achhe hain turant loan ho jate jyada documents nhi lgte h,No,,sujhav yh ki online saman lete h to  hum log purchase nhi kr pate h ise sudhar kiya jaiye
9,loan time se mill gaya,7,Passive,No positive reason,,,,"Yes, I will recommend the brand to people I know",,,Lack of information provided – about terms / procedures,,,Yes,jaldi approval aa jata hai,No,,no suggestion
10,JAURAT K TIME PER LOAN MILL JATA H,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,JALDI APPROVAL MILL GYA AND JARURAT K TIME LOAN MILL GYA,No,,NO SUGGESTION
9,All the documentation of the loan has been made easy,8,Passive,"Affordable Product & Services - Price, fees and terms|Already recommended to my friends",,,,No neutral reason,,,Money was not disbursed within the promised time,,,Yes,The loan was received on time and the interest rate is low,No,,customer have a no suggestions
5,file charges and processing fees is too high,8,Passive,"Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,the date which loan taken is your due date that was so good,Yes,extra charges deduct from bank account,interest rate should be reduced
10,Home Credit gives the loan at the time when it is needed and the money comes into the account immediately.,10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved",,,,No neutral reason,,,No negative reason,,,Yes,Home Credit customer executive talks nicely with the customer,No,,Old customers should be given less rate offer interest.
10,"Positive: loan approval is fast and application process easy and fast  
Negative: interest rate thoda kam hona chayia",7,Passive,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,customer ko loan amount limit  acchi miilti hain,No,,interest rate thoda kam hona chayia
8,interest rate jayda hai = everything is good.,9,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,app process is good.,No,,interest rate kam kiya jaay.
1,"LOAN KI SHARTO KE BARE ME PURIE JANKARI NAHI DI ,JAYDA CHARG KAT HO RAHA HAI BANK SE",0,Detractor,No positive reason,,,,No neutral reason,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,No,,Yes,"LOAN KI SHARTO KE BARE ME PURE JANKARI NAHI DI ,JAYDA CHARG  KAT HO RAHA HAI BANK SE",CUSTOBER KO LOAN KI SHARTO KE BARE ME PURIE JANKARI DI JAYE
10,loan time par mill gaya,10,Promoters,"Application Process - Easy, Fast and Convenient|Customer care service is good",,,,"Yes, I will recommend the brand to people I know",,,"No negative reason|Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,No,,No,,no suggestion
9,i got loan from home credit,8,Passive,"Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,good time give a loan,No,,customer have no suggestions
10,JARURAT KE TIME PAR LOAN MIL GAYA,8,Passive,No positive reason,,,,No neutral reason,,,Lack of information provided – about terms / procedures,,,No,,No,,NO SUGGESTION
9,Received the loan on time,7,Passive,Convenient repayment process / collection|Already recommended to my friends,,,,No specific reason mentioned by the customer.,,,Rude behavior towards customers - Unprofessional attitude by HC executive,,,Yes,Interest rates are very low,No,,customer care side tamil not avilabie
1,"The customer is paying the installments on time, yet extra money is being deducted from the customer.",1,Detractor,No positive reason,,,,No neutral reason,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,Yes,Home Credit team informs the customer before the due date.,Yes,"The customer is paying the installments on time, yet extra money is being deducted from the customer.","After EMI Delay extra charged not should be deduct from customer account 
Home Credit Toll Free Number Never Available"
7,Services is good but score 10 is too high for evaluation,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Customer care service is good,,,,No neutral reason,,,No negative reason,,,Yes,quick loan approval is good service in home credit,Yes,If customer paid the EMI already then again EMI amount deduct from bank account,no suggestion
10,JALDIE LOAN MIL GYA,8,Passive,No positive reason,,,,No neutral reason,,,Not happy with the loan amount offered,,,Yes,LOAN PER OFFFER MILA THA,Yes,JAYDA AMOUNT KA LOAN NAHI DIYA JATA,AGAR KOI CUSTOBER TIME TO TIME EMI PAY KARTA HAI TO USKO JAYDA LOAN KA OFFER DIYA JANA CHYIE
10,loan approval is fast and interest rate is also good,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,customer care service is good and document kam lagte hain,No,,no suggestion
7,INTEREST RATE JADA HAI,8,Passive,"Application Process - Easy, Fast and Convenient|Affordable Product & Services - Price, fees and terms",,,,No neutral reason,,,No negative reason,,,Yes,JALDI DISBUSED HOJATA  PROCESS BHI ACHA,No,,CUSTOMER CARE TELEFONIC SUPPORT OR ACHA HONA CHAHIYE
10,The loan process is quite good,10,Promoters,No positive reason,,,,"Yes, I will recommend the brand to people I know",,,No negative reason,,,Yes,Home Credit deposits money into the account instantly,No,,no suggestion
7,The loan was received at the said time,5,Detractor,"Affordable Product & Services - Price, fees and terms",,,,Will recommend but am not sure whether they will take it or not,,,Rude behavior towards customers - Unprofessional attitude by HC executive,,,Yes,The interest rate is lower as the loan is received at the said time,No,,Contacted customer care till now and was not available
5,customer care proper information nahi dete,2,Detractor,No positive reason,,,,No neutral reason,,,Problem/Issue not resolved by HC,,,No,,Yes,proper inforrmation nhi milti hai,puri information deni chaiye
9,FINANCEL SERVICE ACHI LAGI,10,Promoters,Customer care service is good|Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,JALDI LOAN APROVED HO JATA H AND KAM DOCUMENTS M LOAN APPROVED HO JATA H,No,,NO SUGGESTION
8,Abhi ke time par hum itna hi Rating de skte hai baaki Home Credit ki Overall service achhi laggi.,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,Jarurat ke time par aasani se Loan mill gya tha Home Credit se.,No,,No Suggestion
5,EMI pay kerne k baad bhi extra charges lagte hain,8,Passive,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,"Positive: loan approval fast hain 
Negative: customer care service is not good",No,,no suggestion
2,customer care se baat nahi ho pati,0,Detractor,No positive reason,,,,No neutral reason,,,Problem/Issue not resolved by HC,,,No,time se loan mil gyaa,Yes,customer care se baat nhi ho pati / interest jada le liya,timely customer care se contact hona chaiye/ proper information deni chaiye
8,"emi badhai gai ,interest rate pata nhi lagta hai. emi kam karni  hai.",8,Passive,HC removed my late payment charges/penalty charges,,,,"Yes, I will recommend the brand to people I know",,,No negative reason,,,Yes,"online facility is good , jaldi approval mil gaya.",No,,interest rate kam kiya jaay.
6,customer care side no respones,3,Detractor,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient",,,,Score 10 is too high for evaluation.,,,Rude behavior towards customers - Unprofessional attitude by HC executive,,,No,,No,,The next day no details can be known
10,"EMI date Due hone ke baad bhi Home Credit thoda sa time dete hai aur achhe se baat karte hai, customer ko paresaan nhi karte hai.",10,Promoters,Customer care service is good|Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,Home Credit ko mai Like karta hu kyuki abhi tak mujhe koi dikkat nhi aayi hai Home Credit se.,No,,No Suggestion
10,Loan is available through easy process and the method of loan repayment is also quite easy,10,Promoters,"Convenient repayment process / collection|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,"Didn't have to face any problem, got complete satisfaction from customer care.",No,,"The easier the application process will be, the more people will connect with home credit."
6,Because the interest rate is very low,3,Detractor,"Application Process - Easy, Fast and Convenient",,,,Don’t have much experience to recommend / Too early to comment.,,,Rude behavior towards customers - Unprofessional attitude by HC executive,,,No,,No,,Unable to contact customer care
9,JRURAT  K TIME PER FLAXIBAL LOAN MILL GYA,9,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,OTHERS K ACCORDING INTEREST RATE ACHA H,No,,CUTOMER CARE SY  CONTACT HONA CHIYE
10,Flexible Loan bhut acha laga Home Credit ka bass thoda sa Interest Rate jyada hai.,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,jarurat ke time pass Home Credit se Loan mill gya tha.,No,,Interest rate thoda sa Kam hona chahiye.
10,fast process hai home credit ka,10,Promoters,"Convenient repayment process / collection|Affordable Product & Services - Price, fees and terms",,,,No neutral reason,,,No negative reason,,,Yes,jarurat ke time par loan mil jata,No,,no suggestion
8,positive: services is good BUT negative: interest rate is high,9,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,High interest rate,,,Yes,"less documentation  , you don't need to go anywhere and the staff\employees of home credit never ever misbehave with customers",No,,interest rate is should be reduced
8,interest rate thoda kam hona chayia,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,customer's ko jarurat k time par loan mil jata hain,No,,along with 1 loan with home credit there must be an option for another loan taken
10,Interest Rate acha laga aur aasani se Loan mill jata hai.,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient|Affordable Product & Services - Price, fees and terms",,,,No neutral reason,,,No negative reason,,,Yes,Jarurt ke time par Home Credit Ne sath diya.,No,,Home Credit ki taraf se bhut jyada calls aata hai ye thoda sa kam hona chahiye.
10,loan jaldi mil jata hai,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,emi theek hai,No,,no suggestion
10,TIME PER APPROVAL MIL JATA HAI LOAN KE LIYE .,10,Promoters,Already recommended to my friends|I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,CUSTOMER KE SHATH  THIK SE BAAT KI JATA HAI.,No,,CUSTOMER CARE SE BAAT KARNA EASY KIYA JAAY.
10,"Positive*The loan was available at the time of need service is good 
Negative* The customer is not aware of how much EMI he has to pay. There is no option to pay the full amount.",10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,Home Credit came in handy in our time of need,No,,The customer is not aware of how much EMI he has to pay. There is no option to pay the full amount.
10,Ghar baithe sab kaam Online se ho jata hai.,10,Promoters,"Application Process - Easy, Fast and Convenient|Less Documents required for taking a loan / convenient loan application process|Overall satisfaction – Everything was ok/without problems",,,,No neutral reason,,,No negative reason,,,No,,No,,No Suggestion
7,interest rate thoda kam hona chayia,8,Passive,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,application process easy and fast hain,No,,interest rate thoda kam hona chayia
10,time pe loan mil jata h,10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,No,,No,,no suggestion
10,CUSTOMER CARE BEHAVIOR ACHA HAI,9,Promoters,"Affordable Product & Services - Price, fees and terms",,,,No neutral reason,,,No negative reason,,,Yes,PROCESS FEE ACHI LAGI ISKI,No,,NO SUGGESTION
10,JALDI LOAN APPROD HO JATA H,10,Promoters,Customer care service is good|Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,ONLINE SERVICE ACHI LAGI,No,,INTEREST RATE KAM HONA CHIYE
10,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,JALDIE LOAN MIL GYA,No,,CUSTOBER KE LIYE INTEREST THODA KAM KIYA JAYE
9,all good / processing  good,10,Promoters,Already recommended to my friends,,,,No neutral reason,,,No negative reason,,,Yes,ujjawal emi card hone par dobara document ki jarurat nahi padti loan lene par,No,,emi date confirm karni chaiye customer se
6,"no contact with customer care , no resolution for any query",8,Passive,"Application Process - Easy, Fast and Convenient|I received the loan from HC when I was in need",,,,No neutral reason,,,No negative reason,,,Yes,get loan when they need,Yes,"sometimes it takes time for withdraw amount and regarding this problem, there is contact with customer care","must have a toll free number for customer care , where customer should contact for any query"
