"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-,Other Choice-Others,"Neutral Reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-Others,"Negative Reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-Others,Have you had any positive experience in using Home Credit services during the last year?,What specifically pleased you?,Have you had any Negative experience in using Home Credit services during the last year?,What problem(s) was it? Why were you not satisfied?,Please share your suggestions on how Home Credit can improve its products and services.
4,Interest Rate bhut jyada hai aur annual charge bhi laga diya gya Home Credit ki taraf se.,7,Passive,No positive reason,,,,Others,,Jisko bhut jaruri hai Keval wahi Loan le.,"High interest rate|Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,No,,No,,Interest Rate thoda sa kam hona chahiye.
10,get loan when they need,10,Promoters,Already recommended to my friends,,,,No neutral reason,,,No negative reason,,,Yes,"less documentation , you don't need to go go anywhere and there",No,,no suggestion
8,negative :  More calls and messages are coming,8,Passive,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,Getting a loan when I need it,No,,No suggestions
6,Customer's extra charge is being deducted,8,Passive,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,Loan gets approved quickly,No,,The customer needs information about additional charges being deducted from the account.
10,call reminder service is very good in home credit,10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,"less documentation , you don't need to go anywhere",No,,no suggestion
10,"service , fast loan get",8,Passive,"Overall satisfaction – Everything was ok/without problems|Customer care service is good|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,Yes,agriculture used,No,,no
10,quick loan approval and payment process is easy,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,provide emergency \ instant loan service,No,,no suggestion
10,FAST PROCESS HAI,10,Promoters,"Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,No,,No,,NO SUGGESTION
8,Do you have to pay extra money to repay the home credit loan.,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,I got the loan easily.,Yes,"Even after repaying the flexible loan, more extra money has to be paid.",No Suggestion
9,customer ko jaldi loan mill gaya,7,Passive,No positive reason,,,,Will recommend but am not sure whether they will take it or not,,,No negative reason,,,Yes,over all service ache lagi customer ko,No,,customer service fast honi chahiye
10,turant loan ho jata hai,9,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,No,,No,,repayment option jaldi hona chaiye
8,Calls start coming 10 days before the due date and the customer becomes very irritated.,5,Detractor,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,The loan process was done immediately,Yes,Calls start coming 10 days before the due date and the customer becomes very irritated.,interest rate should be less
10,"interest low , fast",8,Passive,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient|Customer care service is good",,,,No neutral reason,,,No negative reason,,,Yes,business,No,,no
9,The collection process is quite easy and the application process is also quite easy,10,Promoters,"Less Documents required for taking a loan / convenient loan application process|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,"Home Credit's service is the best, work becomes easy in Home Credit and there is safety too.",No,,"Even after paying EMI, calls are very high"
9,"The loan comes quickly, overall that's good for me",8,Passive,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,overall  good,No,,No Suggestions
1,"Loans that appear eligible are not available.
Home grade system is not good.",0,Detractor,No positive reason,,,,No neutral reason,,,Bad service quality / Problems with service/Bad experience,,,Yes,"It was better to get a mobile phone through a loan.
Personal loan is absolutely useless.",No,,The rate of interest should be lower.
9,Jarurat ke time par Loan mill gaya tha aur Home Credit ki Sabhi Service achhi laggi.,10,Promoters,Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,No,,No,,No Suggestion
9,JARURAT KE TIME PAR LOAN MIL JATA,10,Promoters,"I received the loan from HC when I was in need|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,No,,No,,NO SUGGESTION
10,need ke according loan mil gaya.,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,time per approval mil jata hai.,No,,no suggestion .
7,Home Credit ki taraf se bhut jyada Interest rate lagaya jata hai.,7,Passive,Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need|Others,,,Laon force close karne ki Facility hoti hai Home Credit me.,No neutral reason,,,No negative reason,,,No,,No,,Interest Rate thoda sa kam hona chahiye aur Customer Care par call jaldi connect hona chahiye.
10,over all service ache lage,10,Promoters,"Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,over all sab acha laga,No,,no suggestion
10,Executive provide information very nicely to customer,10,Promoters,"Affordable Product & Services - Price, fees and terms|Quick loan approvals / Higher chances of loan getting approved",,,,No neutral reason,,,No negative reason,,,Yes,quick loan approval and get loan when they need,No,,no suggestion
10,home credit is good brand,8,Passive,Overall satisfaction – Everything was ok/without problems,,,,Score 10 is too high for evaluation.,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,Yes,customer care support is good services,No,,Application Process Easy Fast
8,Interest rate is very high please increase low that's better,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,Fastly got it loan in home credit,No,,satisfied loan in home credit
9,instant approval instant disbursement,10,Promoters,Already recommended to my friends,,,,No neutral reason,,,No negative reason,,,Yes,Reminder call comes before installment,No,,no suggestion
9,TIME PER LOAN MIL JATA HAI.,7,Passive,No positive reason,,,,Will recommend but am not sure whether they will take it or not,,,High interest rate,,,Yes,TIME PER LOAN MIL JATA HAI .,Yes,emi late  bharne ke liye time diya jaay.,emi late  bharne ke liye time diya jaay.
9,Customer care service is good,9,Promoters,Overall satisfaction – Everything was ok/without problems|Customer care service is good,,,,No neutral reason,,,No negative reason,,,Yes,approve loan got it fastly,No,,Interest rate is very high please increase low
8,INTEREST RATE JADA HAI,7,Passive,I received the loan from HC when I was in need,,,,No neutral reason,,,High interest rate,,,Yes,आसान repayment और collection process,No,,NO SUGGESTION
9,Quick loan approvals  ....service good,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,Will recommend but am not sure whether they will take it or not,,,No negative reason,,,No,,No,,No suggestions
7,CALLS AATE HAI BHOT JADA LOAN KE LIY,8,Passive,"Already recommended to my friends|I received the loan from HC when I was in need|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,FAST APPLICATION PROCESS,No,,ZADA CALLS AATE HAI NHI AANE CHAHIYE
9,jaldi loan mil jada hai,9,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved",,,,No neutral reason,,,No negative reason,,,No,,No,,no suggestion
9,personal loan service and quick loan approval,10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved",,,,No neutral reason,,,No negative reason,,,Yes,"quick loan approval and everything arranged online , so you don't need to go anywhere",No,,no suggestion
8,Interest rate is very high increase low and publicity on board,10,Promoters,Overall satisfaction – Everything was ok/without problems|Customer care service is good,,,,No neutral reason,,,No negative reason,,,Yes,Nothing else,No,,interest rate is high please increase low
